lang	name	continent
af	Koronaviruspandemie van 2019-2020	Africa
am	2019-20 ኮሮናቫይረስ ወረርሽኝ	Africa
an	Pandemia de COVID-19	Europe
ar	جائحة فيروس كورونا 2019–20	Asia
arz	وباء فيروس كورونا 2019–2020	Africa
as	২০১৯ − ২০২০ চনৰ ক'ৰ'ণা ভাইৰাছৰ বিশ্বমাৰী	Asia
az	COVID-19 koronavirus pandemiyası	Asia
ban	Pandemi koronavirus 2019-2020	Asia
bcl	Coronavirus- Pagbungkaras 2019-20	Asia
be	Пандэмія COVID-19	Europe
be-tarask	Пандэмія каранавіруснай інфэкцыі (2019)	Europe
bg	Пандемия от коронавирус (2019 – 2020)	Europe
bn	২০১৯–২০ করোনাভাইরাসের বৈশ্বিক মহামারী	Asia
bo	ཏོག་དབྱིབས་ཡོངས་ཁྱབ་རིམས་ནད།	Asia
br	Bedreuziad COVID-19 e 2019-2020	Europe
bs	Pandemija koronavirusa 2019/2020.	Europe
ca	Pandèmia per coronavirus de 2019-2020	Europe
cdo	COVID-19 ĭk-cìng	Asia
ceb	Coronavirus pandemya	Asia
ckb	گشتگیربوونی ڤایرۆسی کۆرۆنای ٢٠١٩–٢٠	Asia
cs	Pandemie covidu-19	Europe
cv	COVID-19 пандеми	Europe
cy	Pandemig COVID-19	Europe
da	Coronaviruspandemien i 2019-2020	Europe
de	COVID-19-Pandemie	Europe
dty	२०१९-२० कोरोनाभाइरस महामारी	Asia
el	Πανδημία κορονοϊού 2019–20	Europe
en	COVID-19 pandemic	Universal
eo	Kronvirusa pandemio de 2019-2020	Universal
es	Pandemia de enfermedad por coronavirus de 2019-2020	Universal
et	2019.–2020. aasta koroonaviirushaiguse pandeemia	Europe
eu	COVID-19 pandemia	Europe
fa	دنیاگیری کروناویروس	Asia
fi	Koronaviruspandemia 2019–2020	Europe
fr	Pandémie de Covid-19	Europe
ga	Ráig coróinvíreas 2019–2020	Europe
gl	Pandemia por coronavirus de 2019-2020	Europe
hak	COVID-19 thai-liù-hàng	Asia
he	מגפת הקורונה (2019–2020)	Asia
hi	2019–20 कोरोनावायरस महामारी	Asia
hr	Pandemija koronavirusa 2019./20.	Europe
ht	Pandemi kowonaviris an 2019-2020	North America
hu	COVID–19-pandémia	Europe
hy	COVID-19 պանդեմիա	Europe
ia	Pandemia de coronavirus 2019-2020	Universal
id	Pandemi koronavirus 2019–2020	Asia
is	Kórónaveirufaraldur 2019-2020	Europe
it	Pandemia di COVID-19 del 2019-2020	Europe
ja	新型コロナウイルス感染症の流行 (2019年-)	Asia
ka	კორონავირუსის პანდემია 2019-2020	Asia
kab	Arwas n waṭṭan n Kuṛunavirus 2019-20	Africa
kk	COVID-19 пандемиясы	Asia
ko	코로나바이러스감염증-19 범유행	Asia
ku	Belavbûna vîrusa Koronayê 2019-20	Asia
ky	COVID-19 пандемиясы	Asia
lb	COVID-19-Pandemie	Europe
lfn	Pandemica de coronavirus de 2019-2020	Universal
lij	Pandemîa de COVID-19 do 2019-2020	Europe
lmo	Pandemia de COVID-19 del 2019-2020	Europe
lt	COVID-19 pandemija	Europe
lv	COVID-19 pandēmija	Europe
min	Pandemi koronavirus 2019–2020	Asia
mk	Пандемија на коронавирус 2019-2020	Europe
ml	2019-20 കൊറോണ വൈറസ് പാൻഡെമിക്	Asia
mr	२०१९-२०२० वुहान कोरोना व्हायरसचा उद्रेक	Asia
ms	Pandemik COVID-19	Asia
mt	Pandemija tal-COVID-19 tal-2019–20	Europe
